Query Number,Time,SQLStatement
1, 0.0012845, SELECT itemID FROM dataminingdb.itemsets WHERE transId=1, 

1, 0.0012845, SELECT itemID FROM dataminingdb.itemsets WHERE transId=1, 

4, 0.00206225, SELECT itemID FROM dataminingdb.itemsets WHERE transId=2, 

1, 0.0012845, SELECT itemID FROM dataminingdb.itemsets WHERE transId=1, 

4, 0.00206225, SELECT itemID FROM dataminingdb.itemsets WHERE transId=2, 

6, 0.002015, SELECT itemID FROM dataminingdb.itemsets WHERE transId=3, 

1, 0.0012845, SELECT itemID FROM dataminingdb.itemsets WHERE transId=1, 

4, 0.00206225, SELECT itemID FROM dataminingdb.itemsets WHERE transId=2, 

6, 0.002015, SELECT itemID FROM dataminingdb.itemsets WHERE transId=3, 

8, 0.0021235, SELECT itemID FROM dataminingdb.itemsets WHERE transId=4, 

1, 0.0012845, SELECT itemID FROM dataminingdb.itemsets WHERE transId=1, 

4, 0.00206225, SELECT itemID FROM dataminingdb.itemsets WHERE transId=2, 

6, 0.002015, SELECT itemID FROM dataminingdb.itemsets WHERE transId=3, 

8, 0.0021235, SELECT itemID FROM dataminingdb.itemsets WHERE transId=4, 

10, 0.00202875, SELECT itemID FROM dataminingdb.itemsets WHERE transId=5, 

1, 0.0012845, SELECT itemID FROM dataminingdb.itemsets WHERE transId=1, 

4, 0.00206225, SELECT itemID FROM dataminingdb.itemsets WHERE transId=2, 

6, 0.002015, SELECT itemID FROM dataminingdb.itemsets WHERE transId=3, 

8, 0.0021235, SELECT itemID FROM dataminingdb.itemsets WHERE transId=4, 

10, 0.00202875, SELECT itemID FROM dataminingdb.itemsets WHERE transId=5, 

12, 0.002028, SELECT itemID FROM dataminingdb.itemsets WHERE transId=6, 

1, 0.0012845, SELECT itemID FROM dataminingdb.itemsets WHERE transId=1, 

4, 0.00206225, SELECT itemID FROM dataminingdb.itemsets WHERE transId=2, 

6, 0.002015, SELECT itemID FROM dataminingdb.itemsets WHERE transId=3, 

8, 0.0021235, SELECT itemID FROM dataminingdb.itemsets WHERE transId=4, 

10, 0.00202875, SELECT itemID FROM dataminingdb.itemsets WHERE transId=5, 

12, 0.002028, SELECT itemID FROM dataminingdb.itemsets WHERE transId=6, 

14, 0.00202875, SELECT itemID FROM dataminingdb.itemsets WHERE transId=7, 

4, 0.00206225, SELECT itemID FROM dataminingdb.itemsets WHERE transId=2, 

6, 0.002015, SELECT itemID FROM dataminingdb.itemsets WHERE transId=3, 

8, 0.0021235, SELECT itemID FROM dataminingdb.itemsets WHERE transId=4, 

10, 0.00202875, SELECT itemID FROM dataminingdb.itemsets WHERE transId=5, 

12, 0.002028, SELECT itemID FROM dataminingdb.itemsets WHERE transId=6, 

14, 0.00202875, SELECT itemID FROM dataminingdb.itemsets WHERE transId=7, 

16, 0.00201, SELECT itemID FROM dataminingdb.itemsets WHERE transId=8, 

4, 0.00206225, SELECT itemID FROM dataminingdb.itemsets WHERE transId=2, 

