Query Number,Time,SQLStatement
1,0.00136475,SELECT itemID FROM dataminingdb.itemsets WHERE transId=1
1,0.00136475,SELECT itemID FROM dataminingdb.itemsets WHERE transId=1
1,0.00136475,SELECT itemID FROM dataminingdb.itemsets WHERE transId=1
1,0.00136475,SELECT itemID FROM dataminingdb.itemsets WHERE transId=1
1,0.00136475,SELECT itemID FROM dataminingdb.itemsets WHERE transId=1
1,0.00136475,SELECT itemID FROM dataminingdb.itemsets WHERE transId=1
1,0.00136475,SELECT itemID FROM dataminingdb.itemsets WHERE transId=1
4,0.00130875,SELECT itemID FROM dataminingdb.itemsets WHERE transId=2
4,0.00130875,SELECT itemID FROM dataminingdb.itemsets WHERE transId=2
4,0.00130875,SELECT itemID FROM dataminingdb.itemsets WHERE transId=2
4,0.00130875,SELECT itemID FROM dataminingdb.itemsets WHERE transId=2
4,0.00130875,SELECT itemID FROM dataminingdb.itemsets WHERE transId=2
4,0.00130875,SELECT itemID FROM dataminingdb.itemsets WHERE transId=2
4,0.00130875,SELECT itemID FROM dataminingdb.itemsets WHERE transId=2
4,0.00130875,SELECT itemID FROM dataminingdb.itemsets WHERE transId=2
6,0.00130775,SELECT itemID FROM dataminingdb.itemsets WHERE transId=3
6,0.00130775,SELECT itemID FROM dataminingdb.itemsets WHERE transId=3
6,0.00130775,SELECT itemID FROM dataminingdb.itemsets WHERE transId=3
6,0.00130775,SELECT itemID FROM dataminingdb.itemsets WHERE transId=3
6,0.00130775,SELECT itemID FROM dataminingdb.itemsets WHERE transId=3
6,0.00130775,SELECT itemID FROM dataminingdb.itemsets WHERE transId=3
6,0.00130775,SELECT itemID FROM dataminingdb.itemsets WHERE transId=3
6,0.00130775,SELECT itemID FROM dataminingdb.itemsets WHERE transId=3
8,0.00138375,SELECT itemID FROM dataminingdb.itemsets WHERE transId=4
8,0.00138375,SELECT itemID FROM dataminingdb.itemsets WHERE transId=4
8,0.00138375,SELECT itemID FROM dataminingdb.itemsets WHERE transId=4
8,0.00138375,SELECT itemID FROM dataminingdb.itemsets WHERE transId=4
8,0.00138375,SELECT itemID FROM dataminingdb.itemsets WHERE transId=4
8,0.00138375,SELECT itemID FROM dataminingdb.itemsets WHERE transId=4
8,0.00138375,SELECT itemID FROM dataminingdb.itemsets WHERE transId=4
8,0.00138375,SELECT itemID FROM dataminingdb.itemsets WHERE transId=4
10,0.001315,SELECT itemID FROM dataminingdb.itemsets WHERE transId=5
10,0.001315,SELECT itemID FROM dataminingdb.itemsets WHERE transId=5
10,0.001315,SELECT itemID FROM dataminingdb.itemsets WHERE transId=5
10,0.001315,SELECT itemID FROM dataminingdb.itemsets WHERE transId=5
10,0.001315,SELECT itemID FROM dataminingdb.itemsets WHERE transId=5
10,0.001315,SELECT itemID FROM dataminingdb.itemsets WHERE transId=5
10,0.001315,SELECT itemID FROM dataminingdb.itemsets WHERE transId=5
10,0.001315,SELECT itemID FROM dataminingdb.itemsets WHERE transId=5
12,0.0013145,SELECT itemID FROM dataminingdb.itemsets WHERE transId=6
12,0.0013145,SELECT itemID FROM dataminingdb.itemsets WHERE transId=6
12,0.0013145,SELECT itemID FROM dataminingdb.itemsets WHERE transId=6
12,0.0013145,SELECT itemID FROM dataminingdb.itemsets WHERE transId=6
12,0.0013145,SELECT itemID FROM dataminingdb.itemsets WHERE transId=6
12,0.0013145,SELECT itemID FROM dataminingdb.itemsets WHERE transId=6
12,0.0013145,SELECT itemID FROM dataminingdb.itemsets WHERE transId=6
12,0.0013145,SELECT itemID FROM dataminingdb.itemsets WHERE transId=6
14,0.00130275,SELECT itemID FROM dataminingdb.itemsets WHERE transId=7
14,0.00130275,SELECT itemID FROM dataminingdb.itemsets WHERE transId=7
14,0.00130275,SELECT itemID FROM dataminingdb.itemsets WHERE transId=7
14,0.00130275,SELECT itemID FROM dataminingdb.itemsets WHERE transId=7
14,0.00130275,SELECT itemID FROM dataminingdb.itemsets WHERE transId=7
14,0.00130275,SELECT itemID FROM dataminingdb.itemsets WHERE transId=7
14,0.00130275,SELECT itemID FROM dataminingdb.itemsets WHERE transId=7
14,0.00130275,SELECT itemID FROM dataminingdb.itemsets WHERE transId=7
16,0.00131275,SELECT itemID FROM dataminingdb.itemsets WHERE transId=8
16,0.00131275,SELECT itemID FROM dataminingdb.itemsets WHERE transId=8
16,0.00131275,SELECT itemID FROM dataminingdb.itemsets WHERE transId=8
16,0.00131275,SELECT itemID FROM dataminingdb.itemsets WHERE transId=8
16,0.00131275,SELECT itemID FROM dataminingdb.itemsets WHERE transId=8
16,0.00131275,SELECT itemID FROM dataminingdb.itemsets WHERE transId=8
16,0.00131275,SELECT itemID FROM dataminingdb.itemsets WHERE transId=8
16,0.00131275,SELECT itemID FROM dataminingdb.itemsets WHERE transId=8
18,0.00130475,SELECT itemID FROM dataminingdb.itemsets WHERE transId=9
